REF_DATE,GEO,Custodial admissions,Indigenous identity,VALUE
2005/2006,All Provinces and territories,Remand,Non-Indigenous identity,114716
2005/2006,All Provinces and territories,Remand,Indigenous identity unknown,936
2005/2006,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",15618
2005/2006,All Provinces and territories,Other custodial statuses,Indigenous identity,4835
2005/2006,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,10741
2005/2006,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,42
2005/2006,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1626
2005/2006,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,241
2005/2006,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1385
2005/2006,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2005/2006,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",1047
2005/2006,Newfoundland and Labrador,Sentenced,Indigenous identity,154
2005/2006,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,893
2005/2006,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2005/2006,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",478
2005/2006,Newfoundland and Labrador,Remand,Indigenous identity,83
2005/2006,Newfoundland and Labrador,Remand,Non-Indigenous identity,395
2005/2006,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2005/2006,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",101
2005/2006,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,4
2005/2006,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,97
2005/2006,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2005/2006,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",
2005/2006,Prince Edward Island,"Total, custodial admissions",Indigenous identity,
2005/2006,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,
2005/2006,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,
2005/2006,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",
2005/2006,Prince Edward Island,Sentenced,Indigenous identity,
2005/2006,Prince Edward Island,Sentenced,Non-Indigenous identity,
2005/2006,Prince Edward Island,Sentenced,Indigenous identity unknown,
2005/2006,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",
2005/2006,Prince Edward Island,Remand,Indigenous identity,
2005/2006,Prince Edward Island,Remand,Non-Indigenous identity,
2005/2006,Prince Edward Island,Remand,Indigenous identity unknown,
2005/2006,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2005/2006,Prince Edward Island,Other custodial statuses,Indigenous identity,
2005/2006,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,
2005/2006,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,
2005/2006,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4207
2005/2006,Nova Scotia,"Total, custodial admissions",Indigenous identity,351
2005/2006,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,3855
2005/2006,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,1
2005/2006,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",1820
2005/2006,Nova Scotia,Sentenced,Indigenous identity,144
2005/2006,Nova Scotia,Sentenced,Non-Indigenous identity,1676
2005/2006,Nova Scotia,Sentenced,Indigenous identity unknown,0
2005/2006,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",2111
2005/2006,Nova Scotia,Remand,Indigenous identity,192
2005/2006,Nova Scotia,Remand,Non-Indigenous identity,1918
2005/2006,Nova Scotia,Remand,Indigenous identity unknown,1
2005/2006,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",276
2005/2006,Nova Scotia,Other custodial statuses,Indigenous identity,15
2005/2006,Nova Scotia,Other custodial statuses,Non-Indigenous identity,261
2005/2006,Nova Scotia,Other custodial statuses,Indigenous identity unknown,0
2005/2006,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4781
2005/2006,New Brunswick,"Total, custodial admissions",Indigenous identity,367
2005/2006,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,4399
2005/2006,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,15
2005/2006,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",2520
2005/2006,New Brunswick,Sentenced,Indigenous identity,183
2005/2006,New Brunswick,Sentenced,Non-Indigenous identity,2327
2005/2006,New Brunswick,Sentenced,Indigenous identity unknown,10
2005/2006,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",1573
2005/2006,New Brunswick,Remand,Indigenous identity,143
2005/2006,New Brunswick,Remand,Non-Indigenous identity,1428
2005/2006,New Brunswick,Remand,Indigenous identity unknown,2
2005/2006,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",688
2005/2006,New Brunswick,Other custodial statuses,Indigenous identity,41
2005/2006,New Brunswick,Other custodial statuses,Non-Indigenous identity,644
2005/2006,New Brunswick,Other custodial statuses,Indigenous identity unknown,3
2005/2006,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",38281
2005/2006,Quebec,"Total, custodial admissions",Indigenous identity,1304
2005/2006,Quebec,"Total, custodial admissions",Non-Indigenous identity,36368
2005/2006,Quebec,"Total, custodial admissions",Indigenous identity unknown,609
2005/2006,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",8001
2005/2006,Quebec,Sentenced,Indigenous identity,260
2005/2006,Quebec,Sentenced,Non-Indigenous identity,7633
2005/2006,Quebec,Sentenced,Indigenous identity unknown,108
2005/2006,Quebec,Remand,"Total, custodial admissions by Indigenous identity",26921
2005/2006,Quebec,Remand,Indigenous identity,997
2005/2006,Quebec,Remand,Non-Indigenous identity,25454
2005/2006,Quebec,Remand,Indigenous identity unknown,470
2005/2006,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3359
2005/2006,Quebec,Other custodial statuses,Indigenous identity,47
2005/2006,Quebec,Other custodial statuses,Non-Indigenous identity,3281
2005/2006,Quebec,Other custodial statuses,Indigenous identity unknown,31
2005/2006,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",97162
2005/2006,Ontario,"Total, custodial admissions",Indigenous identity,8311
2005/2006,Ontario,"Total, custodial admissions",Non-Indigenous identity,88851
2005/2006,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2005/2006,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",31591
2005/2006,Ontario,Sentenced,Indigenous identity,2728
2005/2006,Ontario,Sentenced,Non-Indigenous identity,28863
2005/2006,Ontario,Sentenced,Indigenous identity unknown,0
2005/2006,Ontario,Remand,"Total, custodial admissions by Indigenous identity",61965
2005/2006,Ontario,Remand,Indigenous identity,5382
2005/2006,Ontario,Remand,Non-Indigenous identity,56583
2005/2006,Ontario,Remand,Indigenous identity unknown,0
2005/2006,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3606
2005/2006,Ontario,Other custodial statuses,Indigenous identity,201
2005/2006,Ontario,Other custodial statuses,Non-Indigenous identity,3405
2005/2006,Ontario,Other custodial statuses,Indigenous identity unknown,0
2005/2006,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",20931
2005/2006,Manitoba,"Total, custodial admissions",Indigenous identity,13463
2005/2006,Manitoba,"Total, custodial admissions",Non-Indigenous identity,7467
2005/2006,Manitoba,"Total, custodial admissions",Indigenous identity unknown,1
2005/2006,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",3748
2005/2006,Manitoba,Sentenced,Indigenous identity,2670
2005/2006,Manitoba,Sentenced,Non-Indigenous identity,1078
2005/2006,Manitoba,Sentenced,Indigenous identity unknown,0
2005/2006,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",9816
2005/2006,Manitoba,Remand,Indigenous identity,6399
2005/2006,Manitoba,Remand,Non-Indigenous identity,3417
2005/2006,Manitoba,Remand,Indigenous identity unknown,0
2005/2006,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",7367
2005/2006,Manitoba,Other custodial statuses,Indigenous identity,4394
2005/2006,Manitoba,Other custodial statuses,Non-Indigenous identity,2972
2005/2006,Manitoba,Other custodial statuses,Indigenous identity unknown,1
2005/2006,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",9008
2005/2006,Saskatchewan,"Total, custodial admissions",Indigenous identity,6774
2005/2006,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,2050
2005/2006,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,184
2005/2006,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",3422
2005/2006,Saskatchewan,Sentenced,Indigenous identity,2659
2005/2006,Saskatchewan,Sentenced,Non-Indigenous identity,719
2005/2006,Saskatchewan,Sentenced,Indigenous identity unknown,44
2005/2006,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",5384
2005/2006,Saskatchewan,Remand,Indigenous identity,3987
2005/2006,Saskatchewan,Remand,Non-Indigenous identity,1264
2005/2006,Saskatchewan,Remand,Indigenous identity unknown,133
2005/2006,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",202
2005/2006,Saskatchewan,Other custodial statuses,Indigenous identity,128
2005/2006,Saskatchewan,Other custodial statuses,Non-Indigenous identity,67
2005/2006,Saskatchewan,Other custodial statuses,Indigenous identity unknown,7
2005/2006,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",37610
2005/2006,Alberta,"Total, custodial admissions",Indigenous identity,13540
2005/2006,Alberta,"Total, custodial admissions",Non-Indigenous identity,24070
2005/2006,Alberta,"Total, custodial admissions",Indigenous identity unknown,0
2005/2006,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",17329
2005/2006,Alberta,Sentenced,Indigenous identity,6663
2005/2006,Alberta,Sentenced,Non-Indigenous identity,10666
2005/2006,Alberta,Sentenced,Indigenous identity unknown,0
2005/2006,Alberta,Remand,"Total, custodial admissions by Indigenous identity",20281
2005/2006,Alberta,Remand,Indigenous identity,6877
2005/2006,Alberta,Remand,Non-Indigenous identity,13404
2005/2006,Alberta,Remand,Indigenous identity unknown,0
2005/2006,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",0
2005/2006,Alberta,Other custodial statuses,Indigenous identity,0
2005/2006,Alberta,Other custodial statuses,Non-Indigenous identity,0
2005/2006,Alberta,Other custodial statuses,Indigenous identity unknown,0
2005/2006,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",22804
2005/2006,British Columbia,"Total, custodial admissions",Indigenous identity,4423
2005/2006,British Columbia,"Total, custodial admissions",Non-Indigenous identity,17877
2005/2006,British Columbia,"Total, custodial admissions",Indigenous identity unknown,504
2005/2006,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",9224
2005/2006,British Columbia,Sentenced,Indigenous identity,1871
2005/2006,British Columbia,Sentenced,Non-Indigenous identity,7162
2005/2006,British Columbia,Sentenced,Indigenous identity unknown,191
2005/2006,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",13580
2005/2006,British Columbia,Remand,Indigenous identity,2552
2005/2006,British Columbia,Remand,Non-Indigenous identity,10715
2005/2006,British Columbia,Remand,Indigenous identity unknown,313
2005/2006,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2005/2006,British Columbia,Other custodial statuses,Indigenous identity,
2005/2006,British Columbia,Other custodial statuses,Non-Indigenous identity,
2005/2006,British Columbia,Other custodial statuses,Indigenous identity unknown,
2005/2006,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",600
2005/2006,Yukon,"Total, custodial admissions",Indigenous identity,425
2005/2006,Yukon,"Total, custodial admissions",Non-Indigenous identity,175
2005/2006,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2005/2006,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",202
2005/2006,Yukon,Sentenced,Indigenous identity,148
2005/2006,Yukon,Sentenced,Non-Indigenous identity,54
2005/2006,Yukon,Sentenced,Indigenous identity unknown,0
2005/2006,Yukon,Remand,"Total, custodial admissions by Indigenous identity",380
2005/2006,Yukon,Remand,Indigenous identity,273
2005/2006,Yukon,Remand,Non-Indigenous identity,107
2005/2006,Yukon,Remand,Indigenous identity unknown,0
2005/2006,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",18
2005/2006,Yukon,Other custodial statuses,Indigenous identity,4
2005/2006,Yukon,Other custodial statuses,Non-Indigenous identity,14
2005/2006,Yukon,Other custodial statuses,Indigenous identity unknown,0
2005/2006,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",697
2005/2006,Northwest Territories,"Total, custodial admissions",Indigenous identity,615
2005/2006,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,79
2005/2006,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,3
