REF_DATE,GEO,Sex,Sentence length ordered,VALUE
2005/2006,British Columbia,Female,Greater than 3 months to 6 months,125
2005/2006,British Columbia,Female,Greater than 6 months to 12 months,51
2005/2006,British Columbia,Female,Greater than 12 to less than 24 months,17
2005/2006,British Columbia,Female,24 months or more,19
2005/2006,British Columbia,Female,Unknown sentence length ordered,65
2005/2006,British Columbia,Female,Median sentence length ordered,
2005/2006,British Columbia,Sex unknown,"Total, sentence length ordered",0
2005/2006,British Columbia,Sex unknown,1 month or less,0
2005/2006,British Columbia,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,British Columbia,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,British Columbia,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,British Columbia,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,British Columbia,Sex unknown,24 months or more,0
2005/2006,British Columbia,Sex unknown,Unknown sentence length ordered,0
2005/2006,British Columbia,Sex unknown,Median sentence length ordered,
2005/2006,Yukon,"Total, custodial admission by sex","Total, sentence length ordered",202
2005/2006,Yukon,"Total, custodial admission by sex",1 month or less,97
2005/2006,Yukon,"Total, custodial admission by sex",Greater than 1 month to 3 months,67
2005/2006,Yukon,"Total, custodial admission by sex",Greater than 3 months to 6 months,23
2005/2006,Yukon,"Total, custodial admission by sex",Greater than 6 months to 12 months,10
2005/2006,Yukon,"Total, custodial admission by sex",Greater than 12 to less than 24 months,5
2005/2006,Yukon,"Total, custodial admission by sex",24 months or more,0
2005/2006,Yukon,"Total, custodial admission by sex",Unknown sentence length ordered,0
2005/2006,Yukon,"Total, custodial admission by sex",Median sentence length ordered,42
2005/2006,Yukon,Male,"Total, sentence length ordered",179
2005/2006,Yukon,Male,1 month or less,81
2005/2006,Yukon,Male,Greater than 1 month to 3 months,61
2005/2006,Yukon,Male,Greater than 3 months to 6 months,22
2005/2006,Yukon,Male,Greater than 6 months to 12 months,10
2005/2006,Yukon,Male,Greater than 12 to less than 24 months,5
2005/2006,Yukon,Male,24 months or more,0
2005/2006,Yukon,Male,Unknown sentence length ordered,0
2005/2006,Yukon,Male,Median sentence length ordered,
2005/2006,Yukon,Female,"Total, sentence length ordered",23
2005/2006,Yukon,Female,1 month or less,16
2005/2006,Yukon,Female,Greater than 1 month to 3 months,6
2005/2006,Yukon,Female,Greater than 3 months to 6 months,1
2005/2006,Yukon,Female,Greater than 6 months to 12 months,0
2005/2006,Yukon,Female,Greater than 12 to less than 24 months,0
2005/2006,Yukon,Female,24 months or more,0
2005/2006,Yukon,Female,Unknown sentence length ordered,0
2005/2006,Yukon,Female,Median sentence length ordered,
2005/2006,Yukon,Sex unknown,"Total, sentence length ordered",0
2005/2006,Yukon,Sex unknown,1 month or less,0
2005/2006,Yukon,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,Yukon,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,Yukon,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,Yukon,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Yukon,Sex unknown,24 months or more,0
2005/2006,Yukon,Sex unknown,Unknown sentence length ordered,0
2005/2006,Northwest Territories,"Total, custodial admission by sex","Total, sentence length ordered",451
2005/2006,Northwest Territories,"Total, custodial admission by sex",1 month or less,82
2005/2006,Northwest Territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,116
2005/2006,Northwest Territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,102
2005/2006,Northwest Territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,81
2005/2006,Northwest Territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,33
2005/2006,Northwest Territories,"Total, custodial admission by sex",24 months or more,29
2005/2006,Northwest Territories,"Total, custodial admission by sex",Unknown sentence length ordered,8
2005/2006,Northwest Territories,"Total, custodial admission by sex",Median sentence length ordered,181
2005/2006,Northwest Territories,Male,"Total, sentence length ordered",423
2005/2006,Northwest Territories,Male,1 month or less,75
2005/2006,Northwest Territories,Male,Greater than 1 month to 3 months,108
2005/2006,Northwest Territories,Male,Greater than 3 months to 6 months,93
2005/2006,Northwest Territories,Male,Greater than 6 months to 12 months,78
2005/2006,Northwest Territories,Male,Greater than 12 to less than 24 months,33
2005/2006,Northwest Territories,Male,24 months or more,29
2005/2006,Northwest Territories,Male,Unknown sentence length ordered,7
2005/2006,Northwest Territories,Male,Median sentence length ordered,
2005/2006,Northwest Territories,Female,"Total, sentence length ordered",28
2005/2006,Northwest Territories,Female,1 month or less,7
2005/2006,Northwest Territories,Female,Greater than 1 month to 3 months,8
2005/2006,Northwest Territories,Female,Greater than 3 months to 6 months,9
2005/2006,Northwest Territories,Female,Greater than 6 months to 12 months,3
2005/2006,Northwest Territories,Female,Greater than 12 to less than 24 months,0
2005/2006,Northwest Territories,Female,24 months or more,0
2005/2006,Northwest Territories,Female,Unknown sentence length ordered,1
2005/2006,Northwest Territories,Female,Median sentence length ordered,
2005/2006,Northwest Territories,Sex unknown,"Total, sentence length ordered",0
2005/2006,Northwest Territories,Sex unknown,1 month or less,0
2005/2006,Northwest Territories,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,Northwest Territories,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,Northwest Territories,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,Northwest Territories,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Northwest Territories,Sex unknown,24 months or more,0
2005/2006,Northwest Territories,Sex unknown,Unknown sentence length ordered,0
2005/2006,Nunavut,"Total, custodial admission by sex","Total, sentence length ordered",418
2005/2006,Nunavut,"Total, custodial admission by sex",1 month or less,39
2005/2006,Nunavut,"Total, custodial admission by sex",Greater than 1 month to 3 months,71
2005/2006,Nunavut,"Total, custodial admission by sex",Greater than 3 months to 6 months,101
2005/2006,Nunavut,"Total, custodial admission by sex",Greater than 6 months to 12 months,75
2005/2006,Nunavut,"Total, custodial admission by sex",Greater than 12 to less than 24 months,80
2005/2006,Nunavut,"Total, custodial admission by sex",24 months or more,52
2005/2006,Nunavut,"Total, custodial admission by sex",Unknown sentence length ordered,0
2005/2006,Nunavut,"Total, custodial admission by sex",Median sentence length ordered,154
2005/2006,Nunavut,Male,"Total, sentence length ordered",414
2005/2006,Nunavut,Male,1 month or less,37
2005/2006,Nunavut,Male,Greater than 1 month to 3 months,70
2005/2006,Nunavut,Male,Greater than 3 months to 6 months,101
2005/2006,Nunavut,Male,Greater than 6 months to 12 months,74
2005/2006,Nunavut,Male,Greater than 12 to less than 24 months,80
2005/2006,Nunavut,Male,24 months or more,52
2005/2006,Nunavut,Male,Unknown sentence length ordered,0
2005/2006,Nunavut,Male,Median sentence length ordered,154
2005/2006,Nunavut,Female,"Total, sentence length ordered",4
2005/2006,Nunavut,Female,1 month or less,2
2005/2006,Nunavut,Female,Greater than 1 month to 3 months,1
2005/2006,Nunavut,Female,Greater than 3 months to 6 months,0
2005/2006,Nunavut,Female,Greater than 6 months to 12 months,1
2005/2006,Nunavut,Female,Greater than 12 to less than 24 months,0
2005/2006,Nunavut,Female,24 months or more,0
2005/2006,Nunavut,Female,Unknown sentence length ordered,0
2005/2006,Nunavut,Female,Median sentence length ordered,30
2005/2006,Nunavut,Sex unknown,"Total, sentence length ordered",0
2005/2006,Nunavut,Sex unknown,1 month or less,0
2005/2006,Nunavut,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,Nunavut,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,Nunavut,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,Nunavut,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Nunavut,Sex unknown,24 months or more,0
2005/2006,Nunavut,Sex unknown,Unknown sentence length ordered,0
2006/2007,All Provinces and territories,"Total, custodial admission by sex","Total, sentence length ordered",80744
2006/2007,All Provinces and territories,"Total, custodial admission by sex",1 month or less,30251
2006/2007,All Provinces and territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,14289
2006/2007,All Provinces and territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,6499
2006/2007,All Provinces and territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,3990
2006/2007,All Provinces and territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,1944
2006/2007,All Provinces and territories,"Total, custodial admission by sex",24 months or more,1441
2006/2007,All Provinces and territories,"Total, custodial admission by sex",Unknown sentence length ordered,22330
2006/2007,All Provinces and territories,Male,"Total, sentence length ordered",71688
2006/2007,All Provinces and territories,Male,1 month or less,26162
2006/2007,All Provinces and territories,Male,Greater than 1 month to 3 months,13045
2006/2007,All Provinces and territories,Male,Greater than 3 months to 6 months,5995
2006/2007,All Provinces and territories,Male,Greater than 6 months to 12 months,3712
2006/2007,All Provinces and territories,Male,Greater than 12 to less than 24 months,1840
2006/2007,All Provinces and territories,Male,24 months or more,1347
2006/2007,All Provinces and territories,Male,Unknown sentence length ordered,19587
2006/2007,All Provinces and territories,Female,"Total, sentence length ordered",9023
2006/2007,All Provinces and territories,Female,1 month or less,4078
2006/2007,All Provinces and territories,Female,Greater than 1 month to 3 months,1235
2006/2007,All Provinces and territories,Female,Greater than 3 months to 6 months,502
2006/2007,All Provinces and territories,Female,Greater than 6 months to 12 months,275
2006/2007,All Provinces and territories,Female,Greater than 12 to less than 24 months,99
2006/2007,All Provinces and territories,Female,24 months or more,93
2006/2007,All Provinces and territories,Female,Unknown sentence length ordered,2741
2006/2007,All Provinces and territories,Sex unknown,"Total, sentence length ordered",33
2006/2007,All Provinces and territories,Sex unknown,1 month or less,11
2006/2007,All Provinces and territories,Sex unknown,Greater than 1 month to 3 months,9
2006/2007,All Provinces and territories,Sex unknown,Greater than 3 months to 6 months,2
2006/2007,All Provinces and territories,Sex unknown,Greater than 6 months to 12 months,3
2006/2007,All Provinces and territories,Sex unknown,Greater than 12 to less than 24 months,5
2006/2007,All Provinces and territories,Sex unknown,24 months or more,1
2006/2007,All Provinces and territories,Sex unknown,Unknown sentence length ordered,2
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex","Total, sentence length ordered",1025
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex",1 month or less,372
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 1 month to 3 months,294
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 3 months to 6 months,234
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 6 months to 12 months,105
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 12 to less than 24 months,19
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex",24 months or more,1
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex",Unknown sentence length ordered,0
2006/2007,Newfoundland and Labrador,"Total, custodial admission by sex",Median sentence length ordered,60
2006/2007,Newfoundland and Labrador,Male,"Total, sentence length ordered",941
2006/2007,Newfoundland and Labrador,Male,1 month or less,333
2006/2007,Newfoundland and Labrador,Male,Greater than 1 month to 3 months,267
2006/2007,Newfoundland and Labrador,Male,Greater than 3 months to 6 months,221
2006/2007,Newfoundland and Labrador,Male,Greater than 6 months to 12 months,100
2006/2007,Newfoundland and Labrador,Male,Greater than 12 to less than 24 months,19
2006/2007,Newfoundland and Labrador,Male,24 months or more,1
2006/2007,Newfoundland and Labrador,Male,Unknown sentence length ordered,0
2006/2007,Newfoundland and Labrador,Female,"Total, sentence length ordered",73
2006/2007,Newfoundland and Labrador,Female,1 month or less,34
2006/2007,Newfoundland and Labrador,Female,Greater than 1 month to 3 months,23
2006/2007,Newfoundland and Labrador,Female,Greater than 3 months to 6 months,12
2006/2007,Newfoundland and Labrador,Female,Greater than 6 months to 12 months,4
2006/2007,Newfoundland and Labrador,Female,Greater than 12 to less than 24 months,0
2006/2007,Newfoundland and Labrador,Female,24 months or more,0
2006/2007,Newfoundland and Labrador,Female,Unknown sentence length ordered,0
2006/2007,Newfoundland and Labrador,Sex unknown,"Total, sentence length ordered",11
2006/2007,Newfoundland and Labrador,Sex unknown,1 month or less,5
2006/2007,Newfoundland and Labrador,Sex unknown,Greater than 1 month to 3 months,4
2006/2007,Newfoundland and Labrador,Sex unknown,Greater than 3 months to 6 months,1
2006/2007,Newfoundland and Labrador,Sex unknown,Greater than 6 months to 12 months,1
2006/2007,Newfoundland and Labrador,Sex unknown,Greater than 12 to less than 24 months,0
2006/2007,Newfoundland and Labrador,Sex unknown,24 months or more,0
2006/2007,Newfoundland and Labrador,Sex unknown,Unknown sentence length ordered,0
2006/2007,Prince Edward Island,"Total, custodial admission by sex","Total, sentence length ordered",
2006/2007,Prince Edward Island,"Total, custodial admission by sex",1 month or less,
2006/2007,Prince Edward Island,"Total, custodial admission by sex",Greater than 1 month to 3 months,
2006/2007,Prince Edward Island,"Total, custodial admission by sex",Greater than 3 months to 6 months,
